date,building,zone,usage_liters,temperature_c,rainfall_mm,is_anomaly,day_of_week,month
2026-01-05,Admin Block,Admin Zone,10880,22.3,9.9,0,Monday,January
2026-01-05,Library,Academic Zone,6613,21.9,9.5,0,Monday,January
2026-01-05,Cafeteria,Recreation Zone,22208,17.9,13.6,1,Monday,January
2026-01-06,Block A,Hostel Zone,44251,17.1,7.3,0,Tuesday,January
2026-01-06,Block B,Hostel Zone,48090,23.8,7.4,0,Tuesday,January
2026-01-06,Block C,Hostel Zone,47059,17.3,2.0,0,Tuesday,January
2026-01-06,Block D,Hostel Zone,46583,19.3,4.2,0,Tuesday,January
2026-01-06,Admin Block,Admin Zone,11898,21.9,2.0,0,Tuesday,January
2026-01-06,Library,Academic Zone,7130,19.6,3.5,0,Tuesday,January
2026-01-06,Cafeteria,Recreation Zone,14084,21.4,3.9,0,Tuesday,January
2026-01-07,Block A,Hostel Zone,41092,22.3,2.9,0,Wednesday,January
2026-01-07,Block B,Hostel Zone,48403,20.5,5.5,0,Wednesday,January
2026-01-07,Block C,Hostel Zone,41614,17.6,4.4,0,Wednesday,January
2026-01-07,Block D,Hostel Zone,39544,23.2,8.6,0,Wednesday,January
2026-01-07,Admin Block,Admin Zone,11431,18.2,6.1,0,Wednesday,January
2026-01-07,Library,Academic Zone,9296,22.9,6.6,0,Wednesday,January
2026-01-07,Cafeteria,Recreation Zone,12095,15.5,2.8,0,Wednesday,January
2026-01-08,Block A,Hostel Zone,42914,22.1,0.8,0,Thursday,January
2026-01-08,Block B,Hostel Zone,42063,19.0,2.3,0,Thursday,January
2026-01-08,Block C,Hostel Zone,43080,20.1,2.4,0,Thursday,January
2026-01-08,Block D,Hostel Zone,48271,22.5,0.5,0,Thursday,January
2026-01-08,Admin Block,Admin Zone,10818,17.6,3.8,0,Thursday,January
2026-01-08,Library,Academic Zone,6667,25.0,2.8,0,Thursday,January
2026-01-08,Cafeteria,Recreation Zone,12627,16.2,7.9,0,Thursday,January
2026-01-09,Block A,Hostel Zone,43922,25.0,0.9,0,Friday,January
2026-01-09,Block B,Hostel Zone,43545,21.3,7.2,0,Friday,January
2026-01-09,Block C,Hostel Zone,40795,17.2,3.4,0,Friday,January
2026-01-09,Block D,Hostel Zone,39179,18.7,4.6,0,Friday,January
2026-01-09,Admin Block,Admin Zone,10709,27.0,1.7,0,Friday,January
2026-01-09,Library,Academic Zone,7369,20.2,3.0,0,Friday,January
2026-01-09,Cafeteria,Recreation Zone,11301,23.8,0.5,0,Friday,January
2026-01-10,Block A,Hostel Zone,29062,18.1,7.7,0,Saturday,January
2026-01-10,Block B,Hostel Zone,29078,18.1,3.1,0,Saturday,January
2026-01-10,Block C,Hostel Zone,29199,20.9,2.4,0,Saturday,January
2026-01-10,Block D,Hostel Zone,31051,14.6,1.3,0,Saturday,January
2026-01-10,Admin Block,Admin Zone,7417,19.4,11.5,0,Saturday,January
2026-01-10,Library,Academic Zone,4571,20.0,8.0,0,Saturday,January
2026-01-10,Cafeteria,Recreation Zone,9367,19.1,3.4,0,Saturday,January
2026-01-11,Block A,Hostel Zone,27029,25.7,8.6,0,Sunday,January
2026-01-11,Block B,Hostel Zone,27769,16.4,7.2,0,Sunday,January
2026-01-11,Block C,Hostel Zone,28693,17.9,4.1,0,Sunday,January
2026-01-11,Block D,Hostel Zone,31279,19.6,6.5,0,Sunday,January
2026-01-11,Admin Block,Admin Zone,7878,18.7,4.9,0,Sunday,January
2026-01-11,Library,Academic Zone,4559,20.7,9.1,0,Sunday,January
2026-01-11,Cafeteria,Recreation Zone,8543,18.0,10.3,0,Sunday,January
2026-01-12,Block A,Hostel Zone,43696,24.4,3.3,0,Monday,January
2026-01-12,Block B,Hostel Zone,45283,23.8,7.2,0,Monday,January
2026-01-12,Block C,Hostel Zone,40503,21.2,3.2,0,Monday,January
2026-01-12,Block D,Hostel Zone,102681,20.7,4.2,1,Monday,January
2026-01-12,Admin Block,Admin Zone,11063,20.2,10.8,0,Monday,January
2026-01-12,Library,Academic Zone,7651,22.6,4.8,0,Monday,January
2026-01-12,Cafeteria,Recreation Zone,13205,22.9,2.0,0,Monday,January
2026-01-13,Block A,Hostel Zone,40591,17.7,4.7,0,Tuesday,January
2026-01-13,Block B,Hostel Zone,38368,21.1,1.9,0,Tuesday,January
2026-01-13,Block C,Hostel Zone,42467,16.0,13.3,0,Tuesday,January
2026-01-13,Block D,Hostel Zone,43267,19.2,10.2,0,Tuesday,January
2026-01-13,Admin Block,Admin Zone,10561,23.7,3.8,0,Tuesday,January
2026-01-13,Library,Academic Zone,7074,24.5,5.3,0,Tuesday,January
2026-01-13,Cafeteria,Recreation Zone,12844,21.9,1.1,0,Tuesday,January
2026-01-14,Block A,Hostel Zone,44462,17.5,3.3,0,Wednesday,January
2026-01-14,Block B,Hostel Zone,50921,20.3,4.7,0,Wednesday,January
2026-01-14,Block C,Hostel Zone,44628,16.9,3.4,0,Wednesday,January
2026-01-14,Block D,Hostel Zone,45770,24.1,2.9,0,Wednesday,January
2026-01-14,Admin Block,Admin Zone,10367,14.8,10.8,0,Wednesday,January
2026-01-14,Library,Academic Zone,6953,22.2,2.8,0,Wednesday,January
2026-01-14,Cafeteria,Recreation Zone,14746,20.0,7.3,0,Wednesday,January
2026-01-15,Block A,Hostel Zone,43945,19.9,8.9,0,Thursday,January
2026-01-15,Block B,Hostel Zone,40077,16.7,5.9,0,Thursday,January
2026-01-15,Block C,Hostel Zone,40654,22.9,2.9,0,Thursday,January
2026-01-15,Block D,Hostel Zone,41867,17.6,2.6,0,Thursday,January
2026-01-15,Admin Block,Admin Zone,10568,16.9,4.4,0,Thursday,January
2026-01-15,Library,Academic Zone,5808,21.5,9.4,0,Thursday,January
2026-01-15,Cafeteria,Recreation Zone,13204,19.3,2.2,0,Thursday,January
2026-01-16,Block A,Hostel Zone,44612,27.1,3.2,0,Friday,January
2026-01-16,Block B,Hostel Zone,51261,19.3,7.6,0,Friday,January
2026-01-16,Block C,Hostel Zone,37629,17.1,4.4,0,Friday,January
2026-01-16,Block D,Hostel Zone,37930,20.6,3.6,0,Friday,January
2026-01-16,Admin Block,Admin Zone,10618,17.7,3.1,0,Friday,January
2026-01-16,Library,Academic Zone,8065,22.6,1.9,0,Friday,January
2026-01-16,Cafeteria,Recreation Zone,13320,18.7,11.6,0,Friday,January
2026-01-17,Block A,Hostel Zone,26432,15.9,8.0,0,Saturday,January
2026-01-17,Block B,Hostel Zone,29327,19.3,2.4,0,Saturday,January
2026-01-17,Block C,Hostel Zone,26178,20.1,2.0,0,Saturday,January
2026-01-17,Block D,Hostel Zone,29921,19.7,2.6,0,Saturday,January
2026-01-17,Admin Block,Admin Zone,7535,20.3,7.1,0,Saturday,January
2026-01-17,Library,Academic Zone,5091,17.7,2.2,0,Saturday,January
2026-01-17,Cafeteria,Recreation Zone,7600,20.8,1.9,0,Saturday,January
2026-01-18,Block A,Hostel Zone,25833,20.8,2.4,0,Sunday,January
2026-01-18,Block B,Hostel Zone,30314,23.0,2.6,0,Sunday,January
2026-01-18,Block C,Hostel Zone,29650,22.3,0.2,0,Sunday,January
2026-01-18,Block D,Hostel Zone,27166,21.1,2.5,0,Sunday,January
2026-01-18,Admin Block,Admin Zone,7383,24.7,5.4,0,Sunday,January
2026-01-18,Library,Academic Zone,4581,21.2,3.0,0,Sunday,January
2026-01-18,Cafeteria,Recreation Zone,7313,21.1,9.4,0,Sunday,January
2026-01-19,Block A,Hostel Zone,41243,14.4,3.1,0,Monday,January
2026-01-19,Block B,Hostel Zone,39573,20.0,7.5,0,Monday,January
2026-01-19,Block C,Hostel Zone,33631,15.6,9.1,0,Monday,January
2026-01-19,Block D,Hostel Zone,45297,23.7,4.8,0,Monday,January
2026-01-19,Admin Block,Admin Zone,10870,22.5,2.0,0,Monday,January
2026-01-19,Library,Academic Zone,7964,21.2,8.5,0,Monday,January
2026-01-19,Cafeteria,Recreation Zone,12780,19.2,1.7,0,Monday,January
2026-01-20,Block A,Hostel Zone,41177,18.3,7.7,0,Tuesday,January
2026-01-20,Block B,Hostel Zone,50213,17.7,1.3,0,Tuesday,January
2026-01-20,Block C,Hostel Zone,41416,22.5,6.7,0,Tuesday,January
2026-01-20,Block D,Hostel Zone,43330,27.3,4.6,0,Tuesday,January
2026-01-20,Admin Block,Admin Zone,12178,21.8,2.1,0,Tuesday,January
2026-01-20,Library,Academic Zone,7374,24.8,2.7,0,Tuesday,January
2026-01-20,Cafeteria,Recreation Zone,13227,22.3,4.3,0,Tuesday,January
2026-01-21,Block A,Hostel Zone,46367,19.5,2.9,0,Wednesday,January
2026-01-21,Block B,Hostel Zone,48388,13.0,1.2,0,Wednesday,January
2026-01-21,Block C,Hostel Zone,36625,19.2,1.0,0,Wednesday,January
2026-01-21,Block D,Hostel Zone,43500,16.0,3.5,0,Wednesday,January
2026-01-21,Admin Block,Admin Zone,11252,19.2,1.5,0,Wednesday,January
2026-01-21,Library,Academic Zone,7106,20.5,4.2,0,Wednesday,January
2026-01-21,Cafeteria,Recreation Zone,13298,18.3,2.6,0,Wednesday,January
2026-01-22,Block A,Hostel Zone,51401,16.7,3.4,0,Thursday,January
2026-01-22,Block B,Hostel Zone,50750,23.7,0.4,0,Thursday,January
2026-01-22,Block C,Hostel Zone,41806,19.2,1.1,0,Thursday,January
2026-01-22,Block D,Hostel Zone,40815,22.8,9.8,0,Thursday,January
2026-01-22,Admin Block,Admin Zone,10058,17.8,2.7,0,Thursday,January
2026-01-22,Library,Academic Zone,7384,19.3,3.1,0,Thursday,January
2026-01-22,Cafeteria,Recreation Zone,13574,20.8,1.6,0,Thursday,January
2026-01-23,Block A,Hostel Zone,44736,21.0,1.3,0,Friday,January
2026-01-23,Block B,Hostel Zone,40801,17.6,0.9,0,Friday,January
2026-01-23,Block C,Hostel Zone,42839,13.8,12.4,0,Friday,January
2026-01-23,Block D,Hostel Zone,46907,19.9,3.1,0,Friday,January
2026-01-23,Admin Block,Admin Zone,10610,16.0,7.1,0,Friday,January
2026-01-23,Library,Academic Zone,6373,20.3,4.8,0,Friday,January
2026-01-23,Cafeteria,Recreation Zone,12281,23.1,5.9,0,Friday,January
2026-01-24,Block A,Hostel Zone,32108,24.7,0.6,0,Saturday,January
2026-01-24,Block B,Hostel Zone,27108,21.6,2.2,0,Saturday,January
2026-01-24,Block C,Hostel Zone,24113,21.7,1.8,0,Saturday,January
2026-01-24,Block D,Hostel Zone,25878,17.2,19.7,0,Saturday,January
2026-01-24,Admin Block,Admin Zone,7160,20.5,2.6,0,Saturday,January
2026-01-24,Library,Academic Zone,4783,23.4,2.3,0,Saturday,January
2026-01-24,Cafeteria,Recreation Zone,9010,19.0,2.5,0,Saturday,January
2026-01-25,Block A,Hostel Zone,32545,21.9,8.2,0,Sunday,January
2026-01-25,Block B,Hostel Zone,25941,23.4,3.9,0,Sunday,January
2026-01-25,Block C,Hostel Zone,28592,21.1,6.5,0,Sunday,January
2026-01-25,Block D,Hostel Zone,32001,23.2,3.9,0,Sunday,January
2026-01-25,Admin Block,Admin Zone,6162,21.3,4.9,0,Sunday,January
2026-01-25,Library,Academic Zone,5047,20.4,1.6,0,Sunday,January
2026-01-25,Cafeteria,Recreation Zone,9631,19.9,6.8,0,Sunday,January
2026-01-26,Block A,Hostel Zone,41048,22.7,4.5,0,Monday,January
2026-01-26,Block B,Hostel Zone,43624,20.7,2.8,0,Monday,January
2026-01-26,Block C,Hostel Zone,40005,20.4,10.8,0,Monday,January
2026-01-26,Block D,Hostel Zone,44208,20.8,7.7,0,Monday,January
2026-01-26,Admin Block,Admin Zone,11267,20.1,2.7,0,Monday,January
2026-01-26,Library,Academic Zone,7907,18.7,10.8,0,Monday,January
2026-01-26,Cafeteria,Recreation Zone,12393,22.4,1.2,0,Monday,January
2026-01-27,Block A,Hostel Zone,39502,19.9,5.0,0,Tuesday,January
2026-01-27,Block B,Hostel Zone,41420,22.0,8.2,0,Tuesday,January
2026-01-27,Block C,Hostel Zone,40159,16.6,5.5,0,Tuesday,January
2026-01-27,Block D,Hostel Zone,47587,24.9,2.4,0,Tuesday,January
2026-01-27,Admin Block,Admin Zone,10206,18.1,9.3,0,Tuesday,January
2026-01-27,Library,Academic Zone,6894,16.5,2.0,0,Tuesday,January
2026-01-27,Cafeteria,Recreation Zone,13826,20.6,0.9,0,Tuesday,January
2026-01-28,Block A,Hostel Zone,39770,20.5,2.5,0,Wednesday,January
2026-01-28,Block B,Hostel Zone,43895,20.9,5.3,0,Wednesday,January
2026-01-28,Block C,Hostel Zone,38078,20.3,1.1,0,Wednesday,January
2026-01-28,Block D,Hostel Zone,40978,18.4,4.9,0,Wednesday,January
2026-01-28,Admin Block,Admin Zone,7691,17.4,2.8,0,Wednesday,January
2026-01-28,Library,Academic Zone,7699,21.8,3.1,0,Wednesday,January
2026-01-28,Cafeteria,Recreation Zone,14318,21.3,7.4,0,Wednesday,January
2026-01-29,Block A,Hostel Zone,44365,24.1,6.6,0,Thursday,January
2026-01-29,Block B,Hostel Zone,43958,17.5,5.5,0,Thursday,January
2026-01-29,Block C,Hostel Zone,39573,20.6,4.3,0,Thursday,January
2026-01-29,Block D,Hostel Zone,46146,15.9,3.3,0,Thursday,January
2026-01-29,Admin Block,Admin Zone,10846,19.7,5.1,0,Thursday,January
2026-01-29,Library,Academic Zone,7206,21.2,8.7,0,Thursday,January
2026-01-29,Cafeteria,Recreation Zone,12229,23.6,0.9,0,Thursday,January
2026-01-30,Block A,Hostel Zone,43887,18.4,11.5,0,Friday,January
2026-01-30,Block B,Hostel Zone,45061,15.7,0.3,0,Friday,January
2026-01-30,Block C,Hostel Zone,42979,23.0,5.0,0,Friday,January
2026-01-30,Block D,Hostel Zone,41559,22.0,3.9,0,Friday,January
2026-01-30,Admin Block,Admin Zone,9612,25.0,4.0,0,Friday,January
2026-01-30,Library,Academic Zone,7244,16.2,10.8,0,Friday,January
2026-01-30,Cafeteria,Recreation Zone,13862,19.9,5.4,0,Friday,January
2026-01-31,Block A,Hostel Zone,29462,21.9,10.1,0,Saturday,January
2026-01-31,Block B,Hostel Zone,33218,21.5,2.3,0,Saturday,January
2026-01-31,Block C,Hostel Zone,31164,20.4,2.3,0,Saturday,January
2026-01-31,Block D,Hostel Zone,27542,23.0,2.9,0,Saturday,January
2026-01-31,Admin Block,Admin Zone,5728,22.4,5.7,0,Saturday,January
2026-01-31,Library,Academic Zone,4728,18.3,4.2,0,Saturday,January
2026-01-31,Cafeteria,Recreation Zone,8059,19.3,4.3,0,Saturday,January
2026-02-01,Block A,Hostel Zone,30352,16.5,0.5,0,Sunday,February
2026-02-01,Block B,Hostel Zone,33900,14.6,1.7,0,Sunday,February
2026-02-01,Block C,Hostel Zone,31969,13.9,1.2,0,Sunday,February
2026-02-01,Block D,Hostel Zone,31596,19.0,1.8,0,Sunday,February
2026-02-01,Admin Block,Admin Zone,8235,19.2,4.0,0,Sunday,February
2026-02-01,Library,Academic Zone,5140,14.4,0.7,0,Sunday,February
2026-02-01,Cafeteria,Recreation Zone,9358,14.8,1.1,0,Sunday,February
2026-02-02,Block A,Hostel Zone,57351,16.5,1.2,0,Monday,February
2026-02-02,Block B,Hostel Zone,49930,17.0,0.9,0,Monday,February
2026-02-02,Block C,Hostel Zone,40657,14.9,3.1,0,Monday,February
2026-02-02,Block D,Hostel Zone,43735,22.3,2.3,0,Monday,February
2026-02-02,Admin Block,Admin Zone,12202,18.3,0.2,0,Monday,February
2026-02-02,Library,Academic Zone,8508,12.6,0.7,0,Monday,February
2026-02-02,Cafeteria,Recreation Zone,15784,14.7,0.6,0,Monday,February
2026-02-03,Block A,Hostel Zone,50228,15.5,1.7,0,Tuesday,February
2026-02-03,Block B,Hostel Zone,50478,19.8,0.2,0,Tuesday,February
2026-02-03,Block C,Hostel Zone,48325,16.1,0.3,0,Tuesday,February
2026-02-03,Block D,Hostel Zone,54621,16.2,1.6,0,Tuesday,February
2026-02-03,Admin Block,Admin Zone,10188,17.1,0.2,0,Tuesday,February
2026-02-03,Library,Academic Zone,7881,15.3,0.8,0,Tuesday,February
2026-02-03,Cafeteria,Recreation Zone,16337,20.0,1.5,0,Tuesday,February
2026-02-04,Block A,Hostel Zone,50644,15.6,1.0,0,Wednesday,February
2026-02-04,Block B,Hostel Zone,52221,14.3,1.9,0,Wednesday,February
2026-02-04,Block C,Hostel Zone,46617,19.1,1.4,0,Wednesday,February
2026-02-04,Block D,Hostel Zone,41580,25.2,2.4,0,Wednesday,February
2026-02-04,Admin Block,Admin Zone,11222,14.5,3.7,0,Wednesday,February
2026-02-04,Library,Academic Zone,8517,13.6,1.3,0,Wednesday,February
2026-02-04,Cafeteria,Recreation Zone,15747,16.9,2.3,0,Wednesday,February
2026-02-05,Block A,Hostel Zone,49734,17.7,1.8,0,Thursday,February
2026-02-05,Block B,Hostel Zone,47263,17.2,2.2,0,Thursday,February
2026-02-05,Block C,Hostel Zone,45973,18.0,1.5,0,Thursday,February
2026-02-05,Block D,Hostel Zone,54736,12.7,1.9,0,Thursday,February
2026-02-05,Admin Block,Admin Zone,12862,16.7,0.4,0,Thursday,February
2026-02-05,Library,Academic Zone,7444,12.0,0.5,0,Thursday,February
2026-02-05,Cafeteria,Recreation Zone,17200,12.5,0.7,0,Thursday,February
2026-02-06,Block A,Hostel Zone,55391,19.4,0.6,0,Friday,February
2026-02-06,Block B,Hostel Zone,50130,16.3,0.3,0,Friday,February
2026-02-06,Block C,Hostel Zone,40744,20.5,1.7,0,Friday,February
2026-02-06,Block D,Hostel Zone,48970,17.5,0.6,0,Friday,February
2026-02-06,Admin Block,Admin Zone,11965,13.4,0.4,0,Friday,February
2026-02-06,Library,Academic Zone,6912,17.5,0.5,0,Friday,February
2026-02-06,Cafeteria,Recreation Zone,16452,18.0,0.5,0,Friday,February
2026-02-07,Block A,Hostel Zone,37462,17.0,1.5,0,Saturday,February
2026-02-07,Block B,Hostel Zone,35301,20.4,1.6,0,Saturday,February
2026-02-07,Block C,Hostel Zone,31628,15.5,1.5,0,Saturday,February
2026-02-07,Block D,Hostel Zone,29581,21.6,0.9,0,Saturday,February
2026-02-07,Admin Block,Admin Zone,8650,18.7,0.7,0,Saturday,February
2026-02-07,Library,Academic Zone,5147,17.2,4.4,0,Saturday,February
2026-02-07,Cafeteria,Recreation Zone,9190,15.3,1.6,0,Saturday,February
2026-02-08,Block A,Hostel Zone,32754,15.9,0.2,0,Sunday,February
2026-02-08,Block B,Hostel Zone,35423,17.3,1.1,0,Sunday,February
2026-02-08,Block C,Hostel Zone,29269,21.3,2.2,0,Sunday,February
2026-02-08,Block D,Hostel Zone,36263,17.2,0.7,0,Sunday,February
2026-02-08,Admin Block,Admin Zone,7913,15.7,0.4,0,Sunday,February
2026-02-08,Library,Academic Zone,5130,14.1,1.1,0,Sunday,February
2026-02-08,Cafeteria,Recreation Zone,10391,11.7,1.6,0,Sunday,February
2026-02-09,Block A,Hostel Zone,57255,18.4,3.8,0,Monday,February
2026-02-09,Block B,Hostel Zone,49086,16.2,0.5,0,Monday,February
2026-02-09,Block C,Hostel Zone,49283,21.1,0.9,0,Monday,February
2026-02-09,Block D,Hostel Zone,54343,18.2,0.7,0,Monday,February
2026-02-09,Admin Block,Admin Zone,10862,16.6,1.9,0,Monday,February
2026-02-09,Library,Academic Zone,9674,17.5,0.7,0,Monday,February
2026-02-09,Cafeteria,Recreation Zone,15743,13.1,0.5,0,Monday,February
2026-02-10,Block A,Hostel Zone,41768,17.9,4.2,0,Tuesday,February
2026-02-10,Block B,Hostel Zone,47311,17.1,1.1,0,Tuesday,February
2026-02-10,Block C,Hostel Zone,47227,16.0,1.7,0,Tuesday,February
2026-02-10,Block D,Hostel Zone,52377,12.8,0.8,0,Tuesday,February
2026-02-10,Admin Block,Admin Zone,12268,16.3,0.9,0,Tuesday,February
2026-02-10,Library,Academic Zone,8289,23.7,0.9,0,Tuesday,February
2026-02-10,Cafeteria,Recreation Zone,15313,12.4,0.8,0,Tuesday,February
2026-02-11,Block A,Hostel Zone,45073,17.9,1.2,0,Wednesday,February
2026-02-11,Block B,Hostel Zone,52288,10.4,1.4,0,Wednesday,February
2026-02-11,Block C,Hostel Zone,43942,13.4,1.5,0,Wednesday,February
2026-02-11,Block D,Hostel Zone,49127,20.8,0.7,0,Wednesday,February
2026-02-11,Admin Block,Admin Zone,11838,17.2,0.7,0,Wednesday,February
2026-02-11,Library,Academic Zone,8265,16.3,0.2,0,Wednesday,February
2026-02-11,Cafeteria,Recreation Zone,16417,13.2,0.9,0,Wednesday,February
2026-02-12,Block A,Hostel Zone,43606,15.7,2.5,0,Thursday,February
2026-02-12,Block B,Hostel Zone,50702,16.3,1.0,0,Thursday,February
2026-02-12,Block C,Hostel Zone,44870,17.5,0.5,0,Thursday,February
2026-02-12,Block D,Hostel Zone,49856,12.8,1.1,0,Thursday,February
2026-02-12,Admin Block,Admin Zone,12071,21.5,0.5,0,Thursday,February
2026-02-12,Library,Academic Zone,6674,19.8,0.4,0,Thursday,February
2026-02-12,Cafeteria,Recreation Zone,16130,14.9,1.0,0,Thursday,February
2026-02-13,Block A,Hostel Zone,52569,17.2,2.0,0,Friday,February
2026-02-13,Block B,Hostel Zone,52153,14.1,1.2,0,Friday,February
2026-02-13,Block C,Hostel Zone,53384,17.1,0.8,0,Friday,February
2026-02-13,Block D,Hostel Zone,44594,13.4,1.8,0,Friday,February
2026-02-13,Admin Block,Admin Zone,13374,17.2,0.6,0,Friday,February
2026-02-13,Library,Academic Zone,8810,14.1,0.3,0,Friday,February
2026-02-13,Cafeteria,Recreation Zone,14685,18.3,2.5,0,Friday,February
2026-02-14,Block A,Hostel Zone,30960,19.1,2.9,0,Saturday,February
2026-02-14,Block B,Hostel Zone,39672,13.8,1.5,0,Saturday,February
2026-02-14,Block C,Hostel Zone,28665,10.4,1.7,0,Saturday,February
2026-02-14,Block D,Hostel Zone,33714,17.0,1.0,0,Saturday,February
2026-02-14,Admin Block,Admin Zone,8722,14.6,2.0,0,Saturday,February
2026-02-14,Library,Academic Zone,5086,19.0,1.9,0,Saturday,February
2026-02-14,Cafeteria,Recreation Zone,10348,12.4,1.0,0,Saturday,February
2026-02-15,Block A,Hostel Zone,32416,16.4,0.3,0,Sunday,February
2026-02-15,Block B,Hostel Zone,35537,21.4,0.1,0,Sunday,February
2026-02-15,Block C,Hostel Zone,31476,17.3,2.1,0,Sunday,February
2026-02-15,Block D,Hostel Zone,55929,12.7,0.9,1,Sunday,February
2026-02-15,Admin Block,Admin Zone,7605,21.3,1.5,0,Sunday,February
2026-02-15,Library,Academic Zone,5216,13.0,1.0,0,Sunday,February
2026-02-15,Cafeteria,Recreation Zone,10212,14.0,1.8,0,Sunday,February
2026-02-16,Block A,Hostel Zone,43281,13.0,1.9,0,Monday,February
2026-02-16,Block B,Hostel Zone,50468,21.5,0.8,0,Monday,February
2026-02-16,Block C,Hostel Zone,40543,20.7,0.2,0,Monday,February
2026-02-16,Block D,Hostel Zone,55028,14.7,5.1,0,Monday,February
2026-02-16,Admin Block,Admin Zone,12364,14.3,4.0,0,Monday,February
2026-02-16,Library,Academic Zone,8949,18.7,0.7,0,Monday,February
2026-02-16,Cafeteria,Recreation Zone,16666,14.4,1.2,0,Monday,February
2026-02-17,Block A,Hostel Zone,54747,14.2,0.2,0,Tuesday,February
2026-02-17,Block B,Hostel Zone,54018,12.2,0.4,0,Tuesday,February
2026-02-17,Block C,Hostel Zone,53880,15.7,0.5,0,Tuesday,February
2026-02-17,Block D,Hostel Zone,54773,10.5,0.7,0,Tuesday,February
2026-02-17,Admin Block,Admin Zone,11144,16.8,0.2,0,Tuesday,February
2026-02-17,Library,Academic Zone,8834,15.8,1.6,0,Tuesday,February
2026-02-17,Cafeteria,Recreation Zone,14648,16.3,3.5,0,Tuesday,February
2026-02-18,Block A,Hostel Zone,52486,18.7,0.5,0,Wednesday,February
2026-02-18,Block B,Hostel Zone,53276,16.0,0.9,0,Wednesday,February
2026-02-18,Block C,Hostel Zone,48253,15.7,2.1,0,Wednesday,February
2026-02-18,Block D,Hostel Zone,46769,16.3,0.6,0,Wednesday,February
2026-02-18,Admin Block,Admin Zone,12340,12.9,1.9,0,Wednesday,February
2026-02-18,Library,Academic Zone,7976,16.5,1.6,0,Wednesday,February
2026-02-18,Cafeteria,Recreation Zone,15166,14.5,2.0,0,Wednesday,February
2026-02-19,Block A,Hostel Zone,44047,17.7,1.1,0,Thursday,February
2026-02-19,Block B,Hostel Zone,48656,15.4,0.6,0,Thursday,February
2026-02-19,Block C,Hostel Zone,43879,13.3,1.2,0,Thursday,February
2026-02-19,Block D,Hostel Zone,48798,16.8,0.5,0,Thursday,February
2026-02-19,Admin Block,Admin Zone,12324,17.6,2.1,0,Thursday,February
2026-02-19,Library,Academic Zone,9315,13.2,1.1,0,Thursday,February
2026-02-19,Cafeteria,Recreation Zone,14409,14.4,0.6,0,Thursday,February
2026-02-20,Block A,Hostel Zone,53511,14.0,1.4,0,Friday,February
2026-02-20,Block B,Hostel Zone,50970,15.5,1.1,0,Friday,February
2026-02-20,Block C,Hostel Zone,44158,13.4,1.1,0,Friday,February
2026-02-20,Block D,Hostel Zone,48275,19.8,0.2,0,Friday,February
